Order ID,AWB Number,Total weight as per Courier Company (KG),Delivery Zone as per X,Weight slab Courier Company (KG),Total weight as per X (KG),Expected Charge as per X (Rs.),Expected Charge as per X (Rs.),Difference
2001806232,1091117222124,1.3,d,1.25,822,15,15,73500.9
2001807960,1091117327312,1.0,d,1.25,240,0,0,21388.499999999996
2001821185,1091120959225,2.1,d,1.25,240,15,15,21269.1
2001811306,1091117958163,1.1,d,1.25,240,0,0,21343.699999999997
2001807613,1091117333251,1.04,d,1.25,240,15,15,21358.699999999997
2001818390,1091120014461,0.8,e,1.5,240,15,15,21280.199999999997
2001806273,1091117222194,1.0,d,1.25,115,15,15,10192.5
2001807036,1091117323005,1.64,d,1.25,115,15,15,10113.900000000001
2001812650,1091118591534,0.61,d,1.25,115,15,15,10203.5
2001807186,1091117323812,0.5,d,1.25,127,0,0,11308.499999999998
2001807290,1091117324206,0.5,d,1.25,127,0,0,11308.499999999998
2001807931,1091117327172,0.72,d,1.25,127,15,15,11271.699999999997
2001808207,1091117435370,0.79,d,1.25,127,15,15,11278.699999999997
2001808542,1091117436464,0.86,d,1.25,254,15,15,22646.899999999998
2001806229,1091117222080,0.71,d,1.25,127,15,15,11278.699999999997
2001806338,1091117222570,0.7,d,1.25,127,0,0,11263.699999999997
2001806446,1091117223211,0.69,d,1.25,127,0,0,11263.699999999997
2001806533,1091117224353,0.68,d,1.25,127,0,0,11263.699999999997
2001806652,1091117226221,0.69,d,1.25,127,15,15,11278.699999999997
2001806735,1091117226711,0.69,d,1.25,127,0,0,11263.699999999997
2001806726,1091117226910,0.68,d,1.25,127,15,15,11278.699999999997
2001807004,1091117229290,0.68,d,1.25,127,0,0,11263.699999999997
2001807084,1091117323215,0.67,d,1.25,127,15,15,11258.699999999997
2001809820,1091117795623,3.0,d,1.25,127,0,0,11084.499999999998
2001806471,1091117223351,1.7,d,1.25,254,15,15,22568.3
2001807241,1091117324011,0.79,d,1.25,127,0,0,11263.699999999997
2001807981,1091117327570,0.5,d,1.25,127,15,15,11315.499999999998
2001808837,1091117437890,0.67,d,1.25,127,0,0,11263.699999999997
2001808475,1091117436346,0.7,d,1.25,127,0,0,11263.699999999997
2001811153,1091117957533,0.76,d,1.25,127,0,0,11263.699999999997
2001811466,1091118001865,0.8,d,1.25,127,0,0,11263.699999999997
2001811809,1091118009786,0.5,d,1.25,127,0,0,11267.199999999997
2001813009,1091118553701,1.0,d,1.25,127,15,15,11276.699999999997
2001814580,1091118925110,0.15,d,1.25,127,15,15,11274.199999999997
2001806304,1091117222360,0.71,d,1.25,127,0,0,11263.699999999997
2001816996,1091119429202,0.5,d,1.25,127,0,0,11308.499999999998
2001821995,1091121183730,0.5,d,1.25,127,0,0,11308.499999999998
2001806823,1091117228133,0.59,d,1.25,127,15,15,11271.699999999997
2001806828,1091117228192,0.69,d,1.25,127,15,15,11268.699999999997
2001806968,1091117229183,0.68,d,1.25,127,0,0,11263.699999999997
2001807785,1091117326424,0.68,d,1.25,127,0,0,11263.699999999997
2001807852,1091117326925,0.74,d,1.25,127,0,0,11263.699999999997
2001807329,1091117333100,0.73,d,1.25,127,0,0,11263.699999999997
2001808679,1091117437035,0.72,d,1.25,127,0,0,11263.699999999997
2001808883,1091117438074,0.72,d,1.25,127,0,0,11263.699999999997
2001812195,1091118442390,0.67,d,1.25,127,0,0,11263.699999999997
2001808992,1091117611501,0.72,d,1.25,127,15,15,11278.699999999997
2001809270,1091117613962,0.68,d,1.25,127,15,15,11273.699999999997
2001810125,1091117804314,0.66,d,1.25,127,15,15,11278.699999999997
2001810281,1091117805390,0.68,d,1.25,127,15,15,11278.699999999997
2001811058,1091117905022,0.72,d,1.25,127,0,0,11263.699999999997
2001810697,1091117807140,2.27,d,1.25,127,15,15,11144.299999999997
2001811039,1091117904860,0.68,d,1.25,127,0,0,11263.699999999997
2001812941,1091118551656,0.73,d,1.25,127,15,15,11273.699999999997
2001809383,1091117614452,0.5,d,1.25,127,0,0,11267.199999999997
2001807814,1091117326612,0.79,b,0.5,127,0,0,11292.599999999999
2001807956,1091117327275,1.08,b,0.5,127,0,0,11264.299999999997
2001808507,1091117436383,0.79,b,0.5,127,0,0,11292.599999999999
2001806547,1091117224611,1.0,b,0.5,127,15,15,11307.599999999999
2001806575,1091117225016,0.68,b,0.5,127,15,15,11297.599999999999
2001806776,1091117227573,2.86,b,0.5,127,0,0,11179.399999999998
2001809592,1091117616121,1.5,b,0.5,127,0,0,11264.299999999997
2001811475,1091121844806,0.5,b,0.5,127,15,15,11321.899999999998
2001819252,1091120352712,0.3,b,0.5,127,0,0,11320.899999999998
2001827036,1091122418320,1.6,b,0.5,127,15,15,11250.999999999998
2001808585,1091117436652,0.72,b,0.5,127,15,15,11307.599999999999
2001806226,1091117222065,0.68,d,1.25,480,15,15,42907.5
2001806733,1091117226674,1.13,d,1.25,240,0,0,21343.699999999997
2001808286,1091117435602,0.77,d,1.25,240,0,0,21388.499999999996
2001810104,1091117804200,0.76,d,1.25,240,15,15,21403.499999999996
2001821750,1091121034350,0.8,d,1.25,240,0,0,21388.499999999996
2001809934,1091117803511,0.82,d,1.25,240,15,15,21395.499999999996
2001806801,1091117227816,1.35,b,0.5,240,0,0,21389.1
2001807415,1091117325094,1.0,b,0.5,480,0,0,42921.399999999994
2001806408,1091117222931,2.5,d,1.25,1104,0,0,98668.5
2001809794,1091117795531,1.5,d,1.25,165,0,0,14623.699999999997
2001808102,1091117435005,1.28,d,1.25,224,0,0,19910.1
2001823564,1091121666133,0.7,d,1.25,224,0,0,19872.3
2001825261,1091121981575,1.6,d,1.25,448,0,0,39770.5
2001811192,1091117957780,1.13,d,1.25,224,0,0,19786.199999999997
2001806567,1091117224902,1.16,d,1.25,112,15,15,9883.899999999998
2001807362,1091117324394,2.0,d,1.25,672,0,0,60006.09999999999
2001812854,1091118548333,2.94,d,1.25,224,15,15,19779.699999999997
2001821284,1091120962515,0.2,d,1.25,112,15,15,9979.499999999998
2001821502,1091121185863,0.6,d,1.25,224,0,0,19954.899999999998
2001817093,1091121485824,1.3,b,0.5,224,15,15,19894.0
2001806616,1091117225484,1.08,b,0.5,112,15,15,9926.299999999997
2001816684,1091119398844,0.99,d,1.25,200,0,0,17721.899999999998
2001811229,1091117957942,0.6,d,1.25,100,15,15,8856.5
2001815688,1091119169701,0.2,d,1.25,100,15,15,8904.300000000001
2001808739,1091117437293,1.63,d,1.25,100,0,0,8754.900000000001
2001806210,1091117221940,2.92,b,0.5,100,15,15,8775.2
2001807012,1091117229345,0.15,d,1.25,240,0,0,21433.299999999996
2001806686,1091117229555,0.15,d,1.25,240,15,15,21448.299999999996
2001807930,1091117327695,0.15,d,1.25,240,0,0,21433.299999999996
2001807976,1091117327496,0.7,d,1.25,240,0,0,21305.899999999998
2001810549,1091117806263,1.86,d,1.25,240,15,15,21301.899999999998
2001821742,1091121034114,0.15,d,1.25,240,0,0,21433.299999999996
2001822466,1091121305541,1.1,d,1.25,480,15,15,42862.7
2001811604,1091118004245,0.8,b,0.5,480,15,15,42930.399999999994
2001809917,1091121482593,0.6,d,1.25,210,15,15,18625.899999999998
2001811305,1091121846136,0.5,d,1.25,210,15,15,18740.299999999996
2001812838,1091118547832,0.6,b,0.5,448,15,15,40022.2
2001806251,1091117222146,1.27,d,1.25,115,0,0,10143.7
2001806233,1091117222135,0.78,b,0.5,115,0,0,10217.400000000001
2001808295,1091117435661,0.2,e,1.5,115,15,15,10166.400000000001
2001807058,1091117323112,1.15,b,0.5,120,0,0,10637.1
2001817160,1091119630264,0.7,d,1.25,350,15,15,31167.899999999998
2001806458,1091117223244,1.0,b,0.5,350,0,0,31273.399999999998
2001821190,1091120959015,1.2,d,1.25,600,15,15,53473.799999999996
2001807970,1091117327474,4.13,d,1.25,600,0,0,53330.899999999994
2001808832,1091117437864,2.47,d,1.25,600,0,0,53510.1
2001806885,1091117229776,1.0,b,0.5,420,15,15,37560.399999999994
2001806768,1091117227116,1.02,d,1.25,840,15,15,75107.70000000001
2001821766,1091121034641,0.2,d,1.25,240,15,15,21430.299999999996
2001821679,1091121031745,0.2,d,1.25,165,15,15,14721.299999999997
2001816131,1091119367193,0.7,d,1.25,350,0,0,31244.499999999996
2001808801,1091117437680,0.8,d,1.25,130,0,0,11532.5
2001820690,1091121306101,0.15,d,1.25,65,15,15,5751.300000000001
2001808118,1091117435134,0.5,b,0.5,65,0,0,5765.700000000001
2001808675,1091117437050,1.2,b,0.5,113,15,15,10024.9
2001811363,1091117958395,0.59,d,1.25,165,0,0,14668.499999999996
2001820978,1091120922803,0.5,d,1.25,165,0,0,14713.299999999997
2001807328,1091117324346,2.28,d,1.25,490,15,15,43658.1
